Día,Frecuencia,Tweet,Tipus tweet,Tipus user
2014-09-22T00:00:00Z,190.0,RT @CataloniaYes: RT if you think that the people of Catalonia have the right to decide their future in a referendum on independence.  #9N2…,campaña,entidades civiles
2014-09-22T00:00:00Z,153.0,"RT @AsiaticsCat: 1r tuit: som catalans d'origen d #Pakistan, #Índia, #Bangladesh i #Nepal. El #9N volem votar com uns catalans més! http://…",campaña,entidades civiles
2014-09-22T00:00:00Z,140.0,"RT @AlfredBosch: Orgullós de la meva ciutat. Avui Barcelona diu al món, amb el cap ben alt, que el #9N2014 votarem. We will vote #pleBCN",campaña,politics
2014-09-22T00:00:00Z,138.0,"RT @assemblea: El #9N2014 votarem, però hem de guanyar i per fer-ho us necessitem a tots! Fes-te voluntari! http://t.co/D3KuIMKAb2 http://t…",campaña,entidades civiles
2014-09-23T00:00:00Z,228.0,"RT @Araeslhora: Gairebé 700 ajuntaments, el 70% de la població, ja han donat suport a la consulta. El #9N2014 votarem i guanyarem! http://t…",campaña,entidades civiles
2014-09-23T00:00:00Z,194.0,"RT @assemblea: El nombre d'Ajuntaments que es sumen al #9N2014 no para de créixer! Avui ja en són 782, el 80% de la població! El #9N2014 vo…",campaña,entidades civiles
2014-09-23T00:00:00Z,167.0,"RT @Araeslhora: ALERTA: Si vius a l'estranger i vols votar el 9N, registra't aquí: http://t.co/LdBwpAWTRr. Tota la informació: http://t.co/…",organización,entidades civiles
2014-09-23T00:00:00Z,159.0,"RT @Araeslhora: Has arribat fins aquí per no guanyar el 9N? No deixis escapar la història, fes-te voluntari! http://t.co/hwwcPNHiOd http://…",organización,entidades civiles
2014-09-23T00:00:00Z,149.0,RT @saulgordillo: MAPA: 782 ajuntaments donen suport a la consulta #9N2014 i hi prestaran suport logístic http://t.co/DfJfeYbkZx http://t.c…,noticias,media
2014-09-24T00:00:00Z,188.0,"RT @assemblea: Més de 782 municipis, el 80% de la població catalana, han donat suport al #9N2014. Votar és legal, legítim i democràtic! El …",campaña,entidades civiles
2014-09-24T00:00:00Z,123.0,RT @oriol_ges: Hi ha centenars de catalans q ja tenen bitllet d'avió per venir a votar el #9N. Cal #ReferèndumSíoSí i no decebre'ls! http:/…,campaña,politics
2014-09-24T00:00:00Z,103.0,"RT @AMI__cat: 828 municipis, el 87,43% del total han aprovat moció #9N  o tenen data per fer-ho. Dates plens i fotos plens fets a: http://t…",noticias,entidades civiles
2014-09-24T00:00:00Z,103.0,RT @saulgordillo: MAPA: 782 ajuntaments donen suport a la consulta #9N2014 i hi prestaran suport logístic http://t.co/DfJfeYbkZx http://t.c…,noticias,media
2014-09-24T00:00:00Z,86.0,"RT @VilaWeb: La inscripció per a votar al #9N des de l'estranger, a punt de tancar-se > http://t.co/BAtDtdncn7 @assemblea_int http://t.co/y…",organización,media
2014-09-25T00:00:00Z,203.0,RT @Araeslhora: ACTUALITZACIÓ: Ja són 828 els municipis que donen suport a la consulta. Units pel 9N! #CatalansVote9N http://t.co/u43cJBRIvV,campaña,entidades civiles
2014-09-25T00:00:00Z,197.0,RT @JosepGinesta: Que participar al 9N comporti inhabilitació però celebrar el 23F ascensos (fill de Tejero) és una bona forma de començar …,campaña,politics
2014-09-25T00:00:00Z,193.0,RT @Araeslhora: ALERTA: Vius a l'estranger i vols votar el 9N? Dissabte al matí es tanca el registre. Hi ets? http://t.co/LdBwpAWTRr http:/…,organización,entidades civiles
2014-09-25T00:00:00Z,134.0,RT @el_pais: ÚLTIMAHORA Artur Mas firmará el sábado el decreto para convocar la consulta del 9N en Cataluña http://t.co/P7gnN6avC4 http://t…,noticias,media
2014-09-25T00:00:00Z,122.0,"RT @jcanadellb: Recomano d'aqui al #9N no consumiu @LaVanguardia @8aldia @elmonarac1, etc. El pessimisme mai es bo x afrontar un repte difi…",campaña,entidades civiles
2014-09-26T00:00:00Z,282.0,"RT @sumate_asoc: Más de 860 municipios, 91% del total, ya da apoyo al #9N para que los ciudadanos podamos votar. ¿Cómo lo van a parar? http…",noticias,entidades civiles
2014-09-26T00:00:00Z,279.0,"RT @Araeslhora: ALERTA: Un 91% dels municipis catalans (867) ja ha donat suport a la consulta. El 9N votarem, el 9N guanyarem! http://t.co/…",campaña,entidades civiles
2014-09-26T00:00:00Z,204.0,RT @AlbiolAlcalde_: Todos concejales del @PSOE de Badalona (3 a ciudad de Cataluña) celebrando hoy su apoyo al 9N con banderas esteladas. h…,noticias,politics
2014-09-26T00:00:00Z,181.0,RT @assemblea: Demà a les 10h00 us esperem a tots a plaça Sant Jaume per donar suport a la convocatòria del #9N2014. Votarem i guanyarem!,campaña,entidades civiles
2014-09-26T00:00:00Z,117.0,"RT @Araeslhora: A 24h de la convocatòria, estàs preparat per guanyar el 9N? És el moment, fes-te voluntari: http://t.co/hwwcPNHiOd http://t…",organización,entidades civiles
2014-09-27T00:00:00Z,885.0,"RT @assemblea: Ja estem convocats, el #9N2014 votarem! #EstemConvocats9N http://t.co/dc1n26NL1Q",campaña,entidades civiles
2014-09-27T00:00:00Z,789.0,"RT @XSalaimartin: Llevar-se a Nova York, obrir el New York Times i llegir que #EstemConvocats9N. Gràcies President Mas. #AraEslHora. http:/…",campaña,celebrity
2014-09-27T00:00:00Z,455.0,"RT @govern: Fotografia del decret de convocatòria de la consulta #9N2014, signat pel #presidentMas al #Palau de la Generalitat http://t.co/…",noticias,politics
2014-09-27T00:00:00Z,451.0,RT @HiginiaRoig: People have the power. #9N,campaña,politics
2014-09-27T00:00:00Z,387.0,RT @isonapassola: Suport al #9N:  79% del Parlament 91% dels municipis catalans 80% dels ciutadans 88% dels catalans respectarien el resultat,campaña,entidades civiles
2014-09-28T00:00:00Z,621.0,"RT @luisma_lopez: Desde Madrid, enhorabuena a los catalanes. Voten sí o voten no, una urna nunca es ilegal. #EstemConvocats9N",campaña,ciudadana/o
2014-09-28T00:00:00Z,325.0,"RT @ramontremosa: Map: 874 from 940 city councils of Catalonia, including Barcelona, supports Catalan referendum #9N (86% population) http:…",noticias,politics
2014-09-28T00:00:00Z,294.0,"RT @XavierAntich: Romay Beccaria, president del Consejo de Estado que fa dictamen sobre #9N entre Franco i Fraga: franquista pata negra htt‚Ä¶",noticias,media
2014-09-28T00:00:00Z,247.0,"RT @XSalaimartin: Llevar-se a Nova York, obrir el New York Times i llegir que #EstemConvocats9N. Gràcies President Mas. #AraEslHora. http:/‚Ä¶",campaña,celebrity
2014-09-28T00:00:00Z,230.0,RT @Mas_Enfurecido: TROBA LA IL·LEGAL:  - FUNDACIÓìN BLAS PIÑAR - FUNDACIÓN FRANCISCO FRANCO - FALANGE ESPAÑOLA - CONSULTA #9N2014  #MARCAESPAÑA¶,campaña,avatar
2014-09-29T00:00:00Z,897.0,RT @assemblea: ALERTA! Demà a les 19h00 us convoquem a tots davant dels vostres Ajuntaments per començar la campanya per guanyar el #9N2014…,organización,entidades civiles
2014-09-29T00:00:00Z,862.0,RT @jofrellombart: Un regidor del PPC va fer un tuit amenaçant el President. Un altre regidor del PPC es va ABSTENIR sobre el 9N. Han obert…,noticias,media
2014-09-29T00:00:00Z,519.0,RT @mats_jordi: Los TEDAX desactivando un artefacto terrorista en Cataluña. #DesafíoMasARV #EstemConvocats9N  #9N2014 http://t.co/oRuKtbrsYZ,humor,ciudadana/o
2014-09-29T00:00:00Z,490.0,RT @roccasagran: Han prohibit emetre el vídeo per votar el 9N. Fem que tanquin l'internet? Fem-lo córrer? #SíSí https://t.co/mWlszN6i2p,organización,celebrity
2014-09-29T00:00:00Z,480.0,RT @VilaWeb: El VíDEO de la campanya del #9N2014 que queda prohibit per la suspensió Feu-lo còrrer! http://t.co/0IK9KVYVWF #EstemConvocats,noticias,media
2014-09-30T00:00:00Z,811.0,"RT @junqueras: #mutsialagabia no ens hi quedarem. Al segle XXI, a Europa, no podran silenciar la voluntat d'un poble. #9N2014 http://t.co/z…",campaña,politics
2014-09-30T00:00:00Z,585.0,RT @albertmartnez: Fer un tuit amb el vídeo de la consulta del 9N és il·legal en aquests moments. Doncs aquí el teniu https://t.co/ruUzUcES…,campaña,media
2014-09-30T00:00:00Z,560.0,RT @Araeslhora: El carrer Ferran de Barcelona acull tota la gent que no pot accedir a la plaça! Units pel 9N! #araéslhora9N http://t.co/Mh4…,campaña,entidades civiles
2014-09-30T00:00:00Z,384.0,RT @mattiasahlstrom: Incredible images. #Catalonia takes streets of every town defying #Spain's suspension of #indyref. #CatalansVote9N htt…,campaña,ciudadana/o
2014-09-30T00:00:00Z,381.0,RT @jofrellombart: Un regidor del PPC va fer un tuit amenaçant el President. Un altre regidor del PPC es va ABSTENIR sobre el 9N. Han obert…,noticias,media
2014-10-01T00:00:00Z,291.0,RT @quimarrufat: 300 Special Units of Spanish Police & 10 cars of Spanish Guardia Civil were sent today to Catalonia #CatalansVote9N http:/…,noticias,politics
2014-10-01T00:00:00Z,253.0,RT @epaluzie: Sóc funcionaria de l'Estat i estic disposada a col·laborar en la campanya 9N #Funcionarispel9N,organización,celebrity
2014-10-01T00:00:00Z,237.0,RT @mats_jordi: Federalistes marxen cap a Madrid amb l'AVE. #9N2014 #terceravia @La_Retaguardia http://t.co/Lda6LAZZ2K,humor,ciudadana/o
2014-10-01T00:00:00Z,200.0,RT @Mas_Enfurecido: RETIREM LA CAMPANYA DEL #9N PER NO PERJUDICAR ALS TREBALLADORS PÚBLICS. TOT I QUE SEGUIREM RETALLANT-LOS EL SOU I TRAIE…,humor,avatar
2014-10-01T00:00:00Z,192.0,"RT @quimarrufat: URNA, grande y libre!! Molt bo @xaviaranda: A veure si així ho entenen...  #CatalansVote9N #sísí  http://t.co/xDOhr15gQa""",humor,politics
2014-10-02T00:00:00Z,348.0,RT @Esquerra_ERC: Cal reactivar els preparatius de la consulta. Cal que tot estigui a punt per votar el #9N2014 #votarem #SíSí,campaña,politics
2014-10-02T00:00:00Z,298.0,RT @ACM947: Ens ajudeu a fer difusió? Aquest dissabte el municipalisme farà pinya pel dret a decidir! #ajuntamentspel9N #9N http://t.co/v5a…,organización,entidades civiles
2014-10-02T00:00:00Z,252.0,"RT @Esquerra_ERC: Suport a la consulta #9N2014 : 911 ajuntaments. El 96%. Representen 6,6 milions de ciutadans #vullserlliure http://t.co/j…",campaña,politics
2014-10-02T00:00:00Z,208.0,"RT @ang_guillen: Brutal síntesis en ina carta al Director de El País de lo que es ""la consulta"" ilegal del 9N. #9NNoGracias http://t.co/bnO…",noticias,politics
2014-10-02T00:00:00Z,181.0,RT @Araeslhora: El 96% dels municipis ja ha votat a favor del 9N! 911 de 947. Ningú no podrà aturar la força de les urnes! #9N2014 http://t…,campaña,entidades civiles
2014-10-03T00:00:00Z,893.0,RT @HiginiaRoig: No és l'important arribar sol i el primer sinó junts i a temps. #Votarem #9N,campaña,politics
2014-10-03T00:00:00Z,538.0,"RT @ang_guillen: Brutal síntesis en ina carta al Director de El País de lo que es ""la consulta"" ilegal del 9N. #9NNoGracias http://t.co/bnO…",noticias,politics
2014-10-03T00:00:00Z,330.0,RT @ACM947: Ens ajudeu a fer difusió? Aquest dissabte el municipalisme farà pinya pel dret a decidir! #ajuntamentspel9N #9N http://t.co/v5a…,organización,entidades civiles
2014-10-03T00:00:00Z,274.0,RT @SpazianiG: Miles de manifestantes piden votar el 9N: http://t.co/diAiStwtK8 vía @YouTube,noticias,ciudadana/o
2014-10-03T00:00:00Z,230.0,"RT @RaholaOficial: La roda de premsa dels partits del 9N és el síntoma d'un gran moment de la nostra història.Orgull de la unitat,dignitat …",campaña,media
2014-10-04T00:00:00Z,472.0,"RT @junqueras: La força del procés és la gent, i això s'expressa amb el suport de la immensa majoria dels alcaldes del país pel #9N http://…",campaña,politics
2014-10-04T00:00:00Z,434.0,"RT @assemblea: Més de 900 alcaldes són a la Generalitat donant suport a la consulta del #9N2014! Fem un país nou, #Araéslhora! http://t.co/…",campaña,entidades civiles
2014-10-04T00:00:00Z,381.0,RT @HiginiaRoig: No és l'important arribar sol i el primer sinó junts i a temps. #Votarem #9N,campaña,politics
2014-10-04T00:00:00Z,336.0,RT @324cat: Crits d'independència al Palau de la Generalitat http://t.co/ggUnecFuvD? #moció9N http://t.co/gWPecVGuyx,noticias,media
2014-10-04T00:00:00Z,312.0,RT @ForcadellCarme: 920 municipis de Catalunya donen suport al #9N2014 una lliço de democràcia i unitat gràcies alcades regidors x fer-ho p…,campaña,entidades civiles
