Día,Frecuencia,Tweet,Tipus tweet,user,Lang,Tipus user
29/09/14,897,RT @assemblea: ALERTA! Demà a les 19h00 us convoquem a tots davant dels vostres Ajuntaments per començar la campanya per guanyar el #9N2014…,organización,assemblea,cat,entidades civiles
29/09/14,862,RT @jofrellombart: Un regidor del PPC va fer un tuit amenaçant el President. Un altre regidor del PPC es va ABSTENIR sobre el 9N. Han obert…,noticias,jofrellombart,cat,media
29/09/14,519,RT @mats_jordi: Los TEDAX desactivando un artefacto terrorista en Cataluña. #DesafíoMasARV #EstemConvocats9N  #9N2014 http://t.co/oRuKtbrsYZ,humor,mats_jordi,cat,ciudadana/o
29/09/14,490,RT @roccasagran: Han prohibit emetre el vídeo per votar el 9N. Fem que tanquin l'internet? Fem-lo córrer? #SíSí https://t.co/mWlszN6i2p,organización,roccasagran,cat,celebrity
30/09/14,2594,RT @VuenaOrtografia: VIDEO DE UN FAMOSO POLITICO SE FILTRA! http://t.co/6JGjhCEODH ¡VIDEO COMPLETO Y PARA FLIPAR! #ESTEMCONVOCATS9N http://…,spam,VuenaOrtografia,spa,sin datos
30/09/14,811,"RT @junqueras: #mutsialagabia no ens hi quedarem. Al segle XXI, a Europa, no podran silenciar la voluntat d'un poble. #9N2014 http://t.co/z…",campaña,junqueras,cat,políticas/os
30/09/14,585,RT @albertmartnez: Fer un tuit amb el vídeo de la consulta del 9N és il·legal en aquests moments. Doncs aquí el teniu https://t.co/ruUzUcES…,campaña,albertmartnez,cat,media
30/09/14,560,RT @Araeslhora: El carrer Ferran de Barcelona acull tota la gent que no pot accedir a la plaça! Units pel 9N! #araéslhora9N http://t.co/Mh4…,campaña,Araeslhora,cat,entidades civiles
30/09/14,384,RT @mattiasahlstrom: Incredible images. #Catalonia takes streets of every town defying #Spain's suspension of #indyref. #CatalansVote9N htt…,campaña,mattiasahlstrom,spa,ciudadana/o
01/10/14,11515,RT @VuenaOrtografia: VIDEO DE UN FAMOSO POLITICO SE FILTRA! http://t.co/6JGjhCEODH ¡VIDEO COMPLETO Y PARA FLIPAR! #ESTEMCONVOCATS9N http://…,spam,VuenaOrtografia,eng,sin datos
01/10/14,2515,RT @VuenaOrtografia: VIDEO DE UN FAMOSO POLITICO SE FILTRA! http://t.co/1qV0BrfdnJ ¡VIDEO COMPLETO Y PARA FLIPAR! #ESTEMCONVOCATS9N http://…,spam,VuenaOrtografia,eng,sin datos
